TransactionID,PolicyID,PaymentDate,AmountPaid
T0000001,P000001,2025-09-28,8570.58
T0000002,P000002,2025-09-01,2346.78
T0000003,P000002,2025-10-01,2346.78
T0000004,P000002,2025-10-31,2346.78
T0000005,P000002,2025-11-30,2346.78
T0000006,P000003,2025-09-13,4660.99
T0000007,P000003,2025-12-12,4660.99
T0000008,P000004,2023-07-06,103.1
T0000009,P000004,2023-08-05,103.1
T0000010,P000004,2023-09-04,103.1
T0000011,P000004,2023-10-04,103.1
T0000012,P000004,2023-11-03,103.1
T0000013,P000004,2023-12-03,103.1
T0000014,P000004,2024-01-02,103.1
T0000015,P000004,2024-02-01,103.1
T0000016,P000004,2024-03-02,103.1
T0000017,P000004,2024-04-01,103.1
T0000018,P000004,2024-05-01,103.1
T0000019,P000004,2024-05-31,103.1
T0000020,P000004,2024-06-30,103.1
T0000021,P000004,2024-07-30,103.1
T0000022,P000004,2024-08-29,103.1
T0000023,P000004,2024-09-28,103.1
T0000024,P000004,2024-10-28,103.1
T0000025,P000004,2024-11-27,63.4
T0000026,P000004,2024-12-27,103.1
T0000027,P000004,2025-01-26,103.1
T0000028,P000004,2025-02-25,103.1
T0000029,P000004,2025-03-27,103.1
T0000030,P000004,2025-04-26,103.1
T0000031,P000004,2025-05-26,103.1
T0000032,P000004,2025-06-25,103.1
T0000033,P000004,2025-07-25,103.1
T0000034,P000004,2025-08-24,60.45
T0000035,P000004,2025-09-23,103.1
T0000036,P000004,2025-10-23,103.1
T0000037,P000004,2025-11-22,103.1
T0000038,P000005,2024-03-09,417.08
T0000039,P000005,2024-04-08,417.08
T0000040,P000005,2024-05-08,417.08
T0000041,P000005,2024-06-07,417.08
T0000042,P000005,2024-07-07,417.08
T0000043,P000005,2024-08-06,417.08
T0000044,P000005,2024-09-05,417.08
T0000045,P000005,2024-10-05,417.08
T0000046,P000005,2024-11-04,417.08
T0000047,P000005,2024-12-04,417.08
T0000048,P000005,2025-01-03,417.08
T0000049,P000005,2025-02-02,417.08
T0000050,P000005,2025-03-04,417.08
T0000051,P000005,2025-04-03,417.08
T0000052,P000005,2025-05-03,417.08
T0000053,P000005,2025-06-02,417.08
T0000054,P000005,2025-07-02,417.08
T0000055,P000005,2025-08-01,417.08
T0000056,P000005,2025-08-31,417.08
T0000057,P000005,2025-09-30,417.08
T0000058,P000005,2025-10-30,417.08
T0000059,P000005,2025-11-29,417.08
T0000060,P000006,2023-10-10,1136.91
T0000061,P000006,2024-01-08,700.41
T0000062,P000006,2024-04-07,1136.91
T0000063,P000006,2024-07-06,1136.91
T0000064,P000006,2024-10-04,1136.91
T0000065,P000006,2025-01-02,1136.91
T0000066,P000006,2025-04-02,1136.91
T0000067,P000006,2025-07-01,1136.91
T0000068,P000007,2024-09-14,132.55
T0000069,P000007,2024-10-14,132.55
T0000070,P000007,2024-11-13,132.55
T0000071,P000007,2024-12-13,132.55
T0000072,P000007,2025-01-12,132.55
T0000073,P000007,2025-02-11,132.55
T0000074,P000007,2025-03-13,132.55
T0000075,P000007,2025-04-12,132.55
T0000076,P000007,2025-05-12,132.55
T0000077,P000007,2025-06-11,132.55
T0000078,P000007,2025-07-11,132.55
T0000079,P000007,2025-08-10,132.55
T0000080,P000008,2025-11-18,1259.12
T0000081,P000008,2025-12-18,1259.12
T0000082,P000009,2021-08-16,297.7
T0000083,P000009,2021-09-15,297.7
T0000084,P000009,2021-10-15,297.7
T0000085,P000009,2021-11-14,297.7
T0000086,P000009,2021-12-14,297.7
T0000087,P000009,2022-01-13,193.48
T0000088,P000009,2022-02-12,297.7
T0000089,P000009,2022-03-14,297.7
T0000090,P000009,2022-04-13,297.7
T0000091,P000009,2022-05-13,297.7
T0000092,P000009,2022-06-12,297.7
T0000093,P000009,2022-07-12,297.7
T0000094,P000009,2022-08-11,297.7
T0000095,P000009,2022-09-10,297.7
T0000096,P000009,2022-10-10,297.7
T0000097,P000009,2022-11-09,130.39
T0000098,P000009,2022-12-09,297.7
T0000099,P000009,2023-01-08,115.77
T0000100,P000009,2023-02-07,297.7
T0000101,P000009,2023-03-09,297.7
T0000102,P000009,2023-04-08,297.7
T0000103,P000009,2023-05-08,297.7
T0000104,P000009,2023-06-07,297.7
T0000105,P000009,2023-07-07,297.7
T0000106,P000009,2023-08-06,297.7
T0000107,P000009,2023-09-05,297.7
T0000108,P000009,2023-10-05,297.7
T0000109,P000009,2023-11-04,297.7
T0000110,P000009,2023-12-04,206.1
T0000111,P000010,2025-09-24,1160.61
T0000112,P000010,2025-10-24,1160.61
T0000113,P000010,2025-11-23,1160.61
T0000114,P000011,2025-04-05,2477.42
T0000115,P000011,2025-07-04,2477.42
T0000116,P000011,2025-10-02,2477.42
T0000117,P000012,2024-12-27,692.81
T0000118,P000012,2025-01-26,692.81
T0000119,P000012,2025-02-25,692.81
T0000120,P000012,2025-03-27,692.81
T0000121,P000012,2025-04-26,692.81
T0000122,P000012,2025-05-26,692.81
T0000123,P000012,2025-06-25,692.81
T0000124,P000012,2025-07-25,692.81
T0000125,P000012,2025-08-24,692.81
T0000126,P000012,2025-09-23,692.81
T0000127,P000012,2025-10-23,692.81
T0000128,P000012,2025-11-22,692.81
T0000129,P000013,2024-09-26,539.25
T0000130,P000013,2024-12-25,539.25
T0000131,P000013,2025-03-25,539.25
T0000132,P000013,2025-06-23,539.25
T0000133,P000013,2025-09-21,539.25
T0000134,P000013,2025-12-20,539.25
T0000135,P000014,2025-03-19,1867.97
T0000136,P000014,2025-06-17,1867.97
T0000137,P000014,2025-09-15,1867.97
T0000138,P000014,2025-12-14,1867.97
T0000139,P000015,2025-07-17,2846.8
T0000140,P000015,2025-10-15,2846.8
T0000141,P000016,2025-05-07,752.93
T0000142,P000016,2025-06-06,752.93
T0000143,P000016,2025-07-06,752.93
T0000144,P000016,2025-08-05,752.93
T0000145,P000016,2025-09-04,752.93
T0000146,P000016,2025-10-04,752.93
T0000147,P000016,2025-11-03,752.93
T0000148,P000016,2025-12-03,752.93
T0000149,P000017,2024-09-16,275.2
T0000150,P000017,2024-10-16,275.2
T0000151,P000017,2024-11-15,244.86
T0000152,P000017,2024-12-15,275.2
T0000153,P000017,2025-01-14,275.2
T0000154,P000017,2025-02-13,275.2
T0000155,P000017,2025-03-15,275.2
T0000156,P000017,2025-04-14,275.2
T0000157,P000017,2025-05-14,275.2
T0000158,P000017,2025-06-13,275.2
T0000159,P000017,2025-07-13,275.2
T0000160,P000017,2025-08-12,275.2
T0000161,P000017,2025-09-11,275.2
T0000162,P000017,2025-10-11,275.2
T0000163,P000017,2025-11-10,275.2
T0000164,P000017,2025-12-10,275.2
T0000165,P000018,2024-09-09,107.16
